Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,ReadModifyWrite,1683657571.192612,1948711,2,1
1,ReadModifyWrite,1683657571.193407,3955827,0,1
1,ReadModifyWrite,1683657572.118424,6076196,18,1
1,ReadModifyWrite,1683657572.122677,2016896,7,1
1,ReadModifyWrite,1683657572.126679,1014928,4,1
1,ReadModifyWrite,1683657572.163241,4497,17,1
1,ReadModifyWrite,1683657572.165349,978339,29,1
1,ReadModifyWrite,1683657572.167746,1976936,17,1
1,ReadModifyWrite,1683657573.123537,17250,9,1
1,ReadModifyWrite,1683657573.126828,14548,3,1
1,ReadModifyWrite,1683657573.129900,1007610,27,1
1,ReadModifyWrite,1683657573.130368,1012936,15,1
1,ReadModifyWrite,1683657573.130368,2014853,23,1
